"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"Q13","SOT-23","9.2mm","34.5mm","9.2mm","34.5mm","8.2mm","33.55mm","B","0","MMBTA42",
"Q14","SOT-23","31.2mm","22.5mm","31.2mm","22.5mm","30.2mm","21.55mm","B","0","MMBTA42",
"Q15","SOT-23","9.2mm","30.0mm","9.2mm","30.0mm","8.2mm","29.05mm","B","0","MMBTA42",
"Q16","SOT-23","31.2mm","18.0mm","31.2mm","18.0mm","30.2mm","17.05mm","B","0","MMBTA42",
"Q17","SOT-23","9.2mm","25.5mm","9.2mm","25.5mm","8.2mm","24.55mm","B","0","MMBTA42",
"Q18","SOT-23","31.2mm","13.5mm","31.2mm","13.5mm","30.2mm","12.55mm","B","0","MMBTA42",
"Q19","SOT-23","11.992893mm","19.4mm","11.992893mm","19.4mm","11.957538mm","18.021142mm","B","45","MMBTA42",
"Q2","SOT-23","50.8mm","15.5mm","50.8mm","15.5mm","51.8mm","16.45mm","B","180","MMBTA42",
"Q20","SOT-23","34.1mm","9.1mm","34.1mm","9.1mm","34.064645mm","7.721142mm","B","45","MMBTA42",
"Q21","SOT-23","19.0mm","16.1mm","19.0mm","16.1mm","19.95mm","15.1mm","B","90","MMBTA42",
"Q22","SOT-23","41.0mm","6.1mm","41.0mm","6.1mm","41.95mm","5.1mm","B","90","MMBTA42",
"Q3","SOT-23","28.8mm","32.0mm","28.8mm","32.0mm","29.8mm","32.95mm","B","180","MMBTA42",
"Q4","SOT-23","50.8mm","20.0mm","50.8mm","20.0mm","51.8mm","20.95mm","B","180","MMBTA42",
"Q5","SOT-23","28.8mm","36.5mm","28.8mm","36.5mm","29.8mm","37.45mm","B","180","MMBTA42",
"Q6","SOT-23","50.8mm","24.5mm","50.8mm","24.5mm","51.8mm","25.45mm","B","180","MMBTA42",
"Q7","SOT-23","26.0mm","40.607107mm","26.0mm","40.607107mm","26.035355mm","41.985965mm","B","225","MMBTA42",
"Q8","SOT-23","47.907107mm","30.907107mm","47.907107mm","30.907107mm","47.942462mm","32.285965mm","B","225","MMBTA42",
"Q9","SOT-23","19.0mm","43.9mm","19.0mm","43.9mm","18.05mm","44.9mm","B","270","MMBTA42",
"Through Hole Items ",
"J1","PinHeader_1x02_P2.54mm_Horizontal_IN","2.0mm","38.0mm","2.0mm","38.0mm","2.0mm","38.0mm","T","0","HV-IN",
"J2","PinHeader_1x02_P2.54mm_Horizontal_OUT","58.0mm","38.0mm","58.0mm","38.0mm","58.0mm","38.0mm","T","0","HV-OUT",
"J3","PinHeader_1x06_P2.54mm_Horizontal_IN","2.0mm","25.0mm","2.0mm","25.0mm","2.0mm","25.0mm","T","0","Head",
"J4","PinHeader_1x06_P2.54mm_Horizontal_OUT","58.0mm","25.0mm","58.0mm","25.0mm","58.0mm","25.0mm","T","0","Butt",
"M1","MountingHole_3mm_Pad_Via","4.0mm","46.0mm","4.0mm","46.0mm","5.59099mm","47.59099mm","T","0","M3-Hole",
"M2","MountingHole_3mm_Pad_Via","4.0mm","4.0mm","4.0mm","4.0mm","5.59099mm","5.59099mm","T","0","M3-Hole",
"M3","MountingHole_3mm_Pad_Via","56.0mm","4.0mm","56.0mm","4.0mm","57.59099mm","5.59099mm","T","0","M3-Hole",
"M4","MountingHole_3mm_Pad_Via","56.0mm","46.0mm","56.0mm","46.0mm","57.59099mm","47.59099mm","T","0","M3-Hole",
"U5","IN-12B-Use-Pin-Header-3","19.0mm","30.0mm","19.0mm","30.0mm","23.0mm","22.0mm","T","0","Nixie_ИН-12B",
"U6","IN-12B-Use-Pin-Header-3","41.0mm","20.0mm","41.0mm","20.0mm","45.0mm","12.0mm","T","0","Nixie_ИН-12B",
